Variable / Field Name,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record,Record
record_id,4000,4001,4002,,,,,,,,,,,,,,,,,
ptname,Rob,Brenda,Paul,,,,,,,,,,,,,,,,,
email,rob@noreply.edu,brenda@noreply.edu,paul@noreply.edu,,,,,,,,,,,,,,,,,
text_validation_complete,1,2,2,,,,,,,,,,,,,,,,,
name,,George,Ringo,,,,,,,,,,,,,,,,,
bdate,,02/25/1943,September,,,,,,,,,,,,,,,,,
instrument,,,drummer,,,,,,,,,,,,,,,,,
bandnotes,,,The Beatles were an English rock band formed in Liverpool in 1960.,,,,,,,,,,,,,,,,,
multiple_dropdown_auto,,,one,,,,,,,,,,,,,,,,,
multiple_dropdown_manual,,,6,,,,,,,,,,,,,,,,,
multiple_radio_auto,,,3,,,,,,,,,,,,,,,,,
radio_button_manual,,,100,,,,,,,,,,,,,,,,,
checkbox___1,,,1,,,,,,,,,,,,,,,,,
checkbox___2,,,1,,,,,,,,,,,,,,,,,
checkbox___3,,,1,,,,,,,,,,,,,,,,,
requirednumber,,,8675309,,,,,,,,,,,,,,,,,
ssn,,,123-45-6789,,,,,,,,,,,,,,,,,
phone,,,555-555-5555,,,,,,,,,,,,,,,,,
integer,,,5.5,,,,,,,,,,,,,,,,,
data_types_complete,,,2,,,,,,,,,,,,,,,,,
